Delay_Hours,Month,System Voltage,Consumer_Effected,System_Load (kW),Failure_Code,Location
0.1,January,33kV,9555,23290,A1,Location 1
0.42,January,LV,282,98,D1,Location 2
0.5,January,11kV,291,104,C1,Location 3
0.08,January,11kV,4192,13025,C1,Location 2
0.15,January,11kV,755,807,C1,Location 4
0.33,January,11kV,755,367,C1,Location 4
0.53,January,11kV,697,217,C1,Location 7
0.5,January,LV,192,192,D2,Location 5
0.02,January,11kV,10682,127700,C1,Location 5
0.22,January,11kV,3365,6336,B4,Location 6
0.15,January,11kV,4880,6353,B4,Location 6
0.3,January,11kV,3996,2267,C1,Location 2
0.73,January,11kV,3622,1460,C1,Location 1
0.52,January,11kV,2037,1481,C1,Location 1
NA,January,11kV,4791,17438,C1,Location 4
0.1,January,11kV,352,570,C1,Location 5
0.43,January,33kV,10820,11488,A1,Location 2
0.28,January,11kV,1472,1071,C2,Location 1
0.5,January,11kV,210,40,C1,Location 2
8.93,January,11kV,3643,108,B4,Location 4
1,January,LV,234,40,D1,Location 6
0.08,January,33kV,13393,30350,A1,Location 3
0.08,January,33kV,5719,24550,A1,Location 3
0.08,January,33kV,26212,21888,A1,Location 3
0.72,January,33kV,20064,4579,A1,Location 1
0.35,January,11kV,14459,9891,C1,Location 5
0.73,January,11kV,6161,1584,C1,Location 5
0.25,January,11kV,6961,4712,C1,Location 2
1.62,January,11kV,1315,177,C1,Location 5
0.58,January,11kV,1506,393,C1,Location 6
0.5,January,11kV,1,390,C1,Location 2
0.42,January,11kV,476,186,C1,Location 3
0.63,January,11kV,3009,1298,B4,Location 2
0.1,January,11kV,6747,11720,C1,Location 1
1.23,January,11kV,4650,418,C1,Location 1
0.42,NA,11kV,6091,3138,C1,Location 7
0.83,January,11kV,3493,1088,C1,Location 7
0.17,January,11kV,2396,1676,C1,Location 1
0.17,January,11kV,6091,7753,C1,Location 7
0.58,January,11kV,3493,1557,C1,Location 7
0.58,January,LV,67,12,D1,Location 3
4.13,January,LV,80,22,D2,Location 4
